iucn_sid,stressor,range_km2,impact_km2,incr2_km2,incr3_km2,decr2_km2,decr3_km2
133438,cum_all,6235547.558795391,6030308.303201137,5170406.042640706,4179194.8102118406,46562.60438452428,9163.893592954215
133438,cum_climate,6235547.558795391,5523276.20068504,5360518.848576014,4628112.074011734,1776.1920667915263,1776.1920667915263
133438,cum_fishing,6235547.558795391,2567594.793024465,1066488.9419690892,2948.967858488891,305570.5297851027,27582.498874588542
133438,cum_land-based,6235547.558795391,556131.5010665032,55670.60995582853,0,9438.96762397229,0
133438,cum_ocean,6235547.558795391,4392605.073277947,3138873.700971837,541146.5172014845,185765.7633940571,44437.98528569305
133438,dem_dest,6235547.558795391,NA,NA,NA,NA,NA
133438,dem_nondest_hb,6235547.558795391,NA,NA,NA,NA,NA
133438,dem_nondest_lb,6235547.558795391,NA,NA,NA,NA,NA
133438,direct_human,6235547.558795391,556131.5010665032,55670.60995582853,0,9438.96762397229,0
133438,light,6235547.558795391,NA,NA,NA,NA,NA
133438,nutrient,6235547.558795391,NA,NA,NA,NA,NA
133438,oa,6235547.558795391,4508656.608254676,3706589.7465756717,177369.4572303157,0,0
133438,organic,6235547.558795391,NA,NA,NA,NA,NA
133438,pel_hb,6235547.558795391,NA,NA,NA,NA,NA
133438,pel_lb,6235547.558795391,NA,NA,NA,NA,NA
133438,shipping,6235547.558795391,4392605.073277947,3138873.700971837,541146.5172014845,185765.7633940571,44437.98528569305
133438,slr,6235547.558795391,NA,NA,NA,NA,NA
133438,sst,6235547.558795391,5175125.963274627,4900824.797013755,4613250.219134775,7250.6011827151,6224.531521580096
133439,art_fish,380489.3333788401,133478.12707516208,2458.200933423042,0,31407.337278029718,0
133439,cum_all,380489.3333788401,379327.03660186694,318690.2494597445,300771.1436205633,3759.3445688938878,211.32668672239527
133439,cum_climate,380489.3333788401,370428.61124022,340216.7542850028,330344.6542886066,0,0
133439,cum_fishing,380489.3333788401,133478.12707516208,2458.200933423042,0,31407.337278029718,0
133439,cum_land-based,380489.3333788401,48934.35358237234,3583.8211714575996,0,40.16953439964086,0
133439,cum_ocean,380489.3333788401,272055.1652961004,189379.27518674583,21108.21764733012,620.0080468329572,514.3447034717597
133439,dem_dest,380489.3333788401,NA,NA,NA,NA,NA
133439,dem_nondest_hb,380489.3333788401,NA,NA,NA,NA,NA
133439,dem_nondest_lb,380489.3333788401,NA,NA,NA,NA,NA
133439,direct_human,380489.3333788401,48934.35358237234,3583.8211714575996,0,40.16953439964086,0
133439,light,380489.3333788401,NA,NA,NA,NA,NA
133439,nutrient,380489.3333788401,NA,NA,NA,NA,NA
133439,oa,380489.3333788401,330058.22805383033,93037.01054725665,0,0,0
133439,organic,380489.3333788401,NA,NA,NA,NA,NA
133439,pel_hb,380489.3333788401,NA,NA,NA,NA,NA
133439,pel_lb,380489.3333788401,NA,NA,NA,NA,NA
133439,shipping,380489.3333788401,272055.1652961004,189379.27518674583,21108.21764733012,620.0080468329572,514.3447034717597
